79,                    Vendor payments,"620,896,279",0.01,"615,189,870","5,706,409",0.75,"7,044,286",0.00,"7,044,255",31,35.64,"2,323,495",0.00,"2,323,495",0,0.00,"12,358,459",0.00,"12,346,734","11,725",0.00,"7,156,330",0.00,"7,156,265",65,0.00,"108,643,810",0.00,"108,463,798","180,012",0.06,"7,969,463",0.00,"7,942,135","27,328",0.88,"2,760,662",0.00,"2,760,515",147,82.87,"2,276,331",0.00,"2,276,331",0,0.00,"2,662,466",0.00,0,"2,662,466",0.00,"25,661,559",0.00,"25,607,383","54,176",0.00,"11,788,164",0.00,"11,788,164",0,0.00,"2,412,548",0.00,"2,402,160","10,388",0.00,"2,470,619",0.06,"2,455,613","15,006",9.51,"20,128,126",0.00,"20,128,126",0,0.00,"13,531,171",0.06,"13,525,010","6,161",123.32,"5,872,998",0.01,"5,860,025","12,973",4.12,"4,061,518",0.00,"4,060,940",578,2.84,"10,704,128",0.00,"10,704,128",0,0.00,"11,793,321",0.00,"11,792,588",733,0.00,"2,473,329",0.00,"2,473,324",5,66.30,"11,559,440",0.00,"11,559,440",0,0.00,"22,154,310",0.00,"22,154,310",0,0.00,"14,975,350",0.00,"14,436,196","539,154",0.00,"13,688,638",0.07,"13,587,074","101,564",9.14,"5,864,351",0.00,"5,864,351",0,0.00
80,                    Other public welfare,"99,796,114",0.46,"56,142,916","43,653,198",1.06,"769,087",0.34,"725,702","43,385",6.10,"343,862",0.06,"334,988","8,874",2.40,"3,312,396",0.17,"3,180,471","131,925",4.32,"602,821",0.40,"591,007","11,814",20.52,"18,416,924",0.21,"5,110,868","13,306,056",0.29,"1,615,526",0.97,"765,535","849,991",1.85,"1,077,625",0.70,"985,037","92,588",8.09,"332,647",0.00,"331,473","1,174",0.00,"880,668",0.00,0,"880,668",0.00,"2,994,917",0.50,"1,926,714","1,068,203",1.40,"1,365,353",1.14,"1,238,054","127,299",12.20,"510,558",0.00,"465,336","45,222",0.00,"377,668",0.12,"358,722","18,946",2.48,"3,789,442",2.24,"3,123,821","665,621",12.78,"1,151,246",0.84,"1,131,359","19,887",48.70,"498,921",1.45,"425,956","72,965",9.90,"648,097",0.87,"609,690","38,407",14.71,"944,261",0.35,"884,821","59,440",5.54,"826,792",0.74,"750,695","76,097",8.02,"1,005,841",0.29,"970,373","35,468",8.29,"1,227,498",0.00,"1,093,819","133,679",0.00,"1,955,682",0.84,"1,868,050","87,632",18.84,"3,844,536",2.78,"3,045,203","799,333",13.35,"2,641,049",5.50,"1,355,162","1,285,887",11.29,"397,261",0.09,"369,053","28,208",1.28
81,               Hospitals,"210,029,047",0.54,"94,276,420","115,752,627",0.98,"6,299,485",0.14,"2,497,389","3,802,096",0.23,"453,669",0.00,"32,719","420,950",0.00,"752,335",1.75,194,"752,141",1.75,"1,375,419",2.20,"1,179,702","195,717",15.43,"31,593,721",0.95,"14,770,767","16,822,954",1.78,"2,851,543",2.54,"1,220,835","1,630,708",4.45,"1,487,243",0.00,"1,487,243",0,0.00,"80,136",0.00,"80,136",0,0.00,"293,380",0.00,0,"293,380",0.00,"10,922,744",0.46,"1,650,534","9,272,210",0.54,"5,568,684",14.28,"1,307,694","4,260,990",18.67,"531,566",0.00,"531,566",0,0.00,"786,025",2.28,"51,753","734,272",2.44,"4,208,128",4.35,"856,042","3,352,086",5.46,"4,766,518",0.18,"140,968","4,625,550",0.19,"4,298,722",5.54,"2,342,698","1,956,024",12.18,"3,839,209",2.68,"2,875,096","964,113",10.68,"2,702,237",1.16,"2,012,688","689,549",4.53,"3,008,539",2.26,"355,578","2,652,961",2.56,"244,858",0.23,"123,145","121,713",0.45,"613,838",0.00,"565,081","48,757",0.00,"1,575,344",0.00,"712,946","862,398",0.00,"5,826,458",2.05,"4,947,263","879,195",13.60,"1,914,664",6.15,"239,699","1,674,965",7.03,"4,164,634",0.72,"1,571,342","2,593,292",1.16
82,                    Capital outlay,"9,440,912",0.64,"3,852,459","5,588,453",1.08,"350,420",0.32,"114,392","236,028",0.47,"6,773",0.00,19,"6,754",0.00,"55,948",4.18,26,"55,922",4.18,"44,066",5.55,"11,842","32,224",7.60,"1,262,160",1.90,"712,557","549,603",4.37,"50,567",23.89,"2,284","48,283",25.02,"16,901",0.00,"16,901",0,0.00,442,0.00,442,0,0.00,"28,460",0.00,0,"28,460",0.00,"769,230",0.16,"86,652","682,578",0.18,"179,022",18.11,"4,783","174,239",18.61,"3,792",0.00,"3,792",0,0.00,"44,474",0.42,929,"43,545",0.43,"106,085",15.38,"39,419","66,666",24.47,"680,311",0.00,639,"679,672",0.00,"266,469",8.41,"122,645","143,824",15.58,"294,452",1.55,"202,409","92,043",4.97,"97,602",1.38,"66,695","30,907",4.37,"101,114",6.76,"5,084","96,030",7.11,"1,007",0.00,0,"1,007",0.00,"11,665",0.00,"8,895","2,770",0.00,"48,486",0.00,"18,450","30,036",0.00,"38,963",10.01,"3,542","35,421",11.01,"26,426",33.11,"2,033","24,393",35.87,"220,072",0.36,"91,982","128,090",0.61
83,               Health,"111,690,265",0.62,"49,661,228","62,029,037",1.12,"929,053",1.38,"496,727","432,326",2.97,"236,302",0.22,"156,741","79,561",0.66,"879,803",1.24,"562,502","317,301",3.44,"279,821",2.40,"200,814","79,007",8.51,"28,975,310",0.96,"2,777,463","26,197,847",1.06,"979,540",4.93,"484,758","494,782",9.77,"1,039,706",2.13,"909,994","129,712",17.05,"526,217",0.00,"485,557","40,660",0.00,"670,833",0.00,0,"670,833",0.00,"6,745,832",0.60,"5,015,447","1,730,385",2.33,"2,065,523",8.47,"1,046,418","1,019,105",17.16,"645,583",0.00,"602,053","43,530",0.00,"366,534",1.37,"238,707","127,827",3.94,"2,112,937",6.11,"1,159,953","952,984",13.55,"1,305,048",2.88,"702,501","602,547",6.25,"430,314",12.30,"113,165","317,149",16.69,"699,620",6.29,"394,092","305,528",14.39,"837,569",10.34,"381,827","455,742",19.00,"811,735",1.98,"555,374","256,361",6.28,"297,923",2.49,"261,017","36,906",20.07,"1,839,588",0.06,"1,291,086","548,502",0.20,"1,963,376",1.71,"1,794,949","168,427",19.96,"4,293,326",3.31,"1,886,469","2,406,857",5.90,"1,460,663",7.90,"556,255","904,408",12.76,"440,653",1.30,"350,164","90,489",6.32
84,               Employment security administration,"3,901,731",0.00,"3,857,988","43,743",0.00,"101,797",0.00,"101,797",0,0.00,"18,478",0.00,"18,478",0,0.00,"111,914",0.00,"111,914",0,0.00,"93,953",0.00,"93,953",0,0.00,"283,798",0.00,"283,798",0,0.00,"42,035",0.00,"42,035",0,0.00,"20,925",0.00,"20,925",0,0.00,"17,166",0.00,"17,166",0,0.00,"43,743",0.00,0,"43,743",0.00,"308,238",0.00,"308,238",0,0.00,"25,660",0.00,"25,660",0,0.00,"7,526",0.00,"7,526",0,0.00,"7,517",0.00,"7,517",0,0.00,"44,514",0.00,"44,514",0,0.00,"83,567",0.00,"83,567",0,0.00,"50,511",0.00,"50,511",0,0.00,"31,504",0.00,"31,504",0,0.00,"111,066",0.00,"111,066",0,0.00,"120,655",0.00,"120,655",0,0.00,"57,253",0.00,"57,253",0,0.00,"42,238",0.00,"42,238",0,0.00,"215,600",0.00,"215,600",0,0.00,"184,312",0.00,"184,312",0,0.00,"68,160",0.00,"68,160",0,0.00,"36,272",0.00,"36,272",0,0.00
85,               Veterans' services,"1,476,033",0.00,"1,476,033",0,0.00,"6,985",0.00,"6,985",0,0.00,0,0.00,0,0,0.00,"10,732",0.00,"10,732",0,0.00,"1,832",0.00,"1,832",0,0.00,"22,137",0.00,"22,137",0,0.00,"6,318",0.00,"6,318",0,0.00,"26,267",0.00,"26,267",0,0.00,0,0.00,0,0,0.00,0,0.00,0,0,0.00,"12,319",0.00,"12,319",0,0.00,"14,190",0.00,"14,190",0,0.00,0,0.00,0,0,0.00,0,0.00,0,0,0.00,"19,489",0.00,"19,489",0,0.00,"11,410",0.00,"11,410",0,0.00,"1,726",0.00,"1,726",0,0.00,"11,777",0.00,"11,777",0,0.00,"55,901",0.00,"55,901",0,0.00,"7,800",0.00,"7,800",0,0.00,617,0.00,617,0,0.00,"2,494",0.00,"2,494",0,0.00,"5,955",0.00,"5,955",0,0.00,0,0.00,0,0,0.00,"21,311",0.00,"21,311",0,0.00,"33,819",0.00,"33,819",0,0.00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Transportation:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,               Highways,"202,546,150",1.00,"125,030,593","77,515,557",2.62,"2,851,099",2.47,"1,956,819","894,280",7.86,"1,316,614",0.22,"1,090,640","225,974",1.27,"2,801,075",2.12,"1,410,661","1,390,414",4.28,"1,684,625",3.44,"1,147,509","537,116",10.80,"19,310,289",4.06,"10,344,010","8,966,279",8.74,"3,269,575",2.61,"1,342,260","1,927,315",4.43,"2,096,672",3.79,"1,404,325","692,347",11.47,"816,900",0.17,"642,725","174,175",0.79,"610,896",0.00,0,"610,896",0.00,"12,142,545",1.43,"8,565,627","3,576,918",4.86,"4,459,048",5.92,"2,596,582","1,862,466",14.18,"829,949",0.00,"550,687","279,262",0.00,"1,148,058",3.96,"706,286","441,772",10.30,"7,491,684",12.02,"4,298,444","3,193,240",28.19,"3,285,552",3.32,"1,934,060","1,351,492",8.07,"2,942,658",5.31,"1,621,860","1,320,798",11.84,"1,706,784",7.68,"789,575","917,209",14.30,"2,247,600",2.75,"1,704,745","542,855",11.40,"2,228,622",2.96,"1,391,566","837,056",7.88,"917,828",5.66,"589,284","328,544",15.80,"3,733,419",0.32,"2,677,519","1,055,900",1.14,"3,242,014",4.60,"2,062,041","1,179,973",12.64,"5,270,181",8.55,"1,926,575","3,343,606",13.47,"5,040,165",9.14,"1,926,721","3,113,444",14.80,"1,742,363",1.90,"983,276","759,087",4.37
87,                    Capital outlay,"116,924,335",0.65,"87,693,407","29,230,928",2.61,"1,515,882",0.64,"1,292,690","223,192",4.33,"713,539",0.17,"629,470","84,069",1.43,"1,615,417",1.07,"962,274","653,143",2.64,"887,662",0.67,"735,333","152,329",3.91,"7,492,974",6.17,"5,192,776","2,300,198",20.11,"1,510,906",2.62,"681,221","829,685",4.76,"1,081,418",2.03,"933,067","148,351",14.78,"547,817",0.05,"486,913","60,904",0.41,"452,281",0.00,0,"452,281",0.00,"8,178,769",0.90,"6,765,190","1,413,579",5.19,"2,602,272",4.60,"1,772,566","829,706",14.44,"378,124",0.00,"236,311","141,813",0.00,"680,262",3.61,"499,102","181,160",13.55,"4,079,001",5.34,"3,170,033","908,968",23.98,"1,908,458",1.38,"1,505,526","402,932",6.54,"1,559,115",2.07,"1,187,119","371,996",8.67,"847,968",3.19,"470,503","377,465",7.17,"1,351,326",1.31,"1,196,467","154,859",11.41,"1,268,439",2.01,"955,083","313,356",8.13,"312,949",3.74,"242,922","70,027",16.69,"1,970,308",0.14,"1,940,431","29,877",9.54,"1,534,613",2.55,"1,195,559","339,054",11.52,"1,924,472",3.35,"1,191,355","733,117",8.78,"2,906,166",8.03,"1,166,325","1,739,841",13.41,"870,850",0.56,"645,948","224,902",2.16
88,               Air transportation (airports),"30,991,087",0.46,"2,725,620","28,265,467",0.50,"142,656",3.37,"1,260","141,396",3.40,"373,209",0.02,"300,460","72,749",0.09,"710,905",0.87,"3,490","707,415",0.88,"125,427",4.66,443,"124,984",4.67,"6,165,188",0.98,"4,469","6,160,719",0.98,"818,474",3.81,"2,276","816,198",3.82,"44,788",0.00,"39,215","5,573",0.00,"7,902",0.00,0,"7,902",0.00,0,0.00,0,0,0.00,"2,582,228",1.70,0,"2,582,228",1.70,"912,921",2.14,"4,061","908,860",2.15,"826,093",0.00,"826,093",0,0.00,"49,475",1.64,"2,496","46,979",1.73,"1,771,364",3.81,"25,627","1,745,737",3.86,"294,119",3.88,"2,979","291,140",3.92,"115,893",3.13,4,"115,889",3.14,"107,949",5.99,"2,337","105,612",6.12,"240,523",0.95,"4,194","236,329",0.97,"522,795",0.49,"44,974","477,821",0.54,"60,989",2.63,180,"60,809",2.64,"288,513",0.00,"264,673","23,840",0.03,"709,768",0.31,"666,800","42,968",5.07,"586,954",5.73,"56,347","530,607",6.34,"585,627",2.57,"9,164","576,463",2.61,"73,565",8.82,0,"73,565",8.82
89,               Parking facilities,"2,195,050",2.43,"13,406","2,181,644",2.44,"16,303",0.00,0,"16,303",0.00,"1,366",2.88,0,"1,366",2.88,"10,310",0.42,0,"10,310",0.42,"3,276",0.00,0,"3,276",0.00,"555,865",7.76,"3,390","552,475",7.80,"56,035",2.45,0,"56,035",2.45,"53,119",1.18,"3,823","49,296",1.27,"11,283",0.00,0,"11,283",0.00,"35,508",0.00,0,"35,508",0.00,"216,828",5.16,0,"216,828",5.16,"9,558",16.71,0,"9,558",16.71,"3,242",0.00,"3,103",139,0.00,802,0.00,0,802,0.00,"51,201",26.09,0,"51,201",26.09,"20,053",2.84,0,"20,053",2.84,"30,782",0.18,0,"30,782",0.18,"5,240",0.00,0,"5,240",0.00,"31,749",0.00,0,"31,749",0.00,"3,386",0.00,0,"3,386",0.00,"5,724",3.75,0,"5,724",3.75,"50,545",0.31,0,"50,545",0.31,"21,823",4.23,0,"21,823",4.23,"59,100",2.02,0,"59,100",2.02,"63,723",0.07,0,"63,723",0.07,"2,724",0.00,0,"2,724",0.00
90,               Sea and inland port facilities,"6,889,290",2.42,"2,594,473","4,294,817",3.88,"155,826",0.00,"155,826",0,0.00,"139,244",0.57,0,"139,244",0.57,0,0.00,0,0,0.00,"4,848",3.43,0,"4,848",3.43,"1,529,167",3.39,0,"1,529,167",3.39,0,0.00,0,0,0.00,"1,593",4.21,588,"1,005",6.66,"33,847",0.00,"33,847",0,0.00,0,0.00,0,0,0.00,"540,124",4.64,0,"540,124",4.64,"507,601",0.00,"507,601",0,0.00,"110,807",0.00,"110,807",0,0.00,"1,906",0.00,0,"1,906",0.00,0,0.00,0,0,0.00,"19,931",0.30,"14,478","5,453",1.10,8,0.00,0,8,0.00,0,0.00,0,0,0.00,"25,382",6.83,0,"25,382",6.83,"393,713",0.54,"235,536","158,177",1.33,"8,751",10.80,369,"8,382",11.28,"142,265",0.00,"142,265",0,0.00,"119,966",0.98,"111,865","8,101",14.57,"53,513",0.10,"52,000","1,513",3.48,"57,684",0.00,0,"57,684",0.00,"56,351",3.42,"17,172","39,179",4.92
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Public safety:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,               Police protection,"123,046,259",2.12,"16,177,157","106,869,102",2.44,"1,361,533",6.06,"193,160","1,168,373",7.07,"383,142",0.68,"131,416","251,726",1.03,"2,561,784",3.86,"263,748","2,298,036",4.31,"722,624",8.38,"109,015","613,609",9.87,"20,795,006",8.11,"2,069,115","18,725,891",9.01,"2,131,681",3.38,"263,683","1,867,998",3.86,"1,242,812",5.45,"239,484","1,003,328",6.76,"372,722",1.38,"152,934","219,788",2.35,"657,169",0.00,0,"657,169",0.00,"9,456,530",4.73,"649,841","8,806,689",5.08,"2,849,117",12.20,"451,469","2,397,648",14.49,"506,973",0.00,"47,796","459,177",0.00,"484,371",3.46,"73,283","411,088",4.07,"5,682,911",17.16,"494,202","5,188,709",18.80,"1,540,925",5.50,"264,795","1,276,130",6.65,"861,265",7.89,"103,146","758,119",8.97,"935,725",6.35,"115,591","820,134",7.25,"820,873",5.36,"193,156","627,717",7.00,"1,599,961",5.97,"256,704","1,343,257",7.11,"327,756",4.78,"94,938","232,818",6.73,"2,957,673",0.53,"613,912","2,343,761",0.67,"2,412,463",7.18,"522,594","1,889,869",9.17,"2,773,051",10.66,"507,781","2,265,270",13.05,"2,379,207",8.46,"473,755","1,905,452",10.56,"784,727",3.91,"149,790","634,937",4.83
93,               Fire protection,"53,891,633",3.31,0,"53,891,633",3.31,"517,930",4.34,0,"517,930",4.34,"227,941",0.26,0,"227,941",0.26,"1,421,345",10.67,0,"1,421,345",10.67,"326,947",7.53,0,"326,947",7.53,"9,303,879",10.09,0,"9,303,879",10.09,"1,361,321",24.09,0,"1,361,321",24.09,"606,401",10.68,0,"606,401",10.68,"37,186",0.20,0,"37,186",0.20,"307,370",0.00,0,"307,370",0.00,"4,517,125",6.61,0,"4,517,125",6.61,"1,224,090",9.82,0,"1,224,090",9.82,"268,782",0.00,0,"268,782",0.00,"240,857",19.21,0,"240,857",19.21,"2,773,155",27.92,0,"2,773,155",27.92,"895,467",13.93,0,"895,467",13.93,"297,779",4.63,0,"297,779",4.63,"373,066",3.82,0,"373,066",3.82,"394,642",12.23,0,"394,642",12.23,"709,982",4.83,0,"709,982",4.83,"179,777",9.32,0,"179,777",9.32,"1,283,272",0.20,0,"1,283,272",0.20,"1,430,183",9.39,0,"1,430,183",9.39,"1,103,316",19.22,0,"1,103,316",19.22,"534,862",23.58,0,"534,862",23.58,"300,687",2.83,0,"300,687",2.83
94,               Correction,"82,175,474",0.51,"51,304,523","30,870,951",1.35,"838,296",1.53,"624,438","213,858",5.99,"338,387",0.00,"330,654","7,733",0.13,"1,843,456",0.01,"1,071,782","771,674",0.03,"524,308",3.01,"354,832","169,476",9.32,"15,033,830",0.27,"8,467,312","6,566,518",0.61,"1,449,425",0.13,"990,948","458,477",0.41,"646,374",0.00,"646,374",0,0.00,"359,591",0.00,"359,591",0,0.00,"257,240",0.00,0,"257,240",0.00,"4,795,575",0.04,"2,783,999","2,011,576",0.09,"2,160,926",5.83,"1,274,323","886,603",14.22,"241,705",0.00,"241,705",0,0.00,"450,460",0.85,"307,225","143,235",2.66,"2,383,250",1.48,"1,680,436","702,814",5.02,"1,132,107",3.83,"670,587","461,520",9.38,"457,514",4.28,"293,910","163,604",11.98,"546,511",4.11,"324,016","222,495",10.10,"907,183",4.66,"614,721","292,462",14.44,"898,390",1.51,"548,651","349,739",3.89,"241,156",3.67,"148,100","93,056",9.52,"1,959,718",0.20,"1,487,650","472,068",0.83,"1,605,155",0.00,"1,605,155",0,0.00,"2,571,113",1.83,"1,908,960","662,153",7.12,"1,171,933",4.33,"588,493","583,440",8.71,"509,810",2.11,"328,748","181,062",5.94
95,                    Capital outlay,"2,050,307",0.85,"1,188,112","862,195",2.01,"44,865",0.51,"42,359","2,506",9.16,"8,970",0.00,"8,950",20,0.00,"97,121",0.00,"12,905","84,216",0.00,"20,192",4.89,"7,450","12,742",7.75,"309,862",0.07,"160,428","149,434",0.15,"20,543",0.00,"18,658","1,885",0.00,"3,130",0.00,"3,130",0,0.00,"5,136",0.00,"5,136",0,0.00,"4,919",0.00,0,"4,919",0.00,"137,417",0.00,"49,104","88,313",0.00,"56,085",10.48,"32,363","23,722",24.77,"1,648",0.00,"1,648",0,0.00,"8,622",0.39,"7,087","1,535",2.17,"36,590",3.19,"28,123","8,467",13.79,"13,565",14.74,"7,269","6,296",31.76,"3,495",3.55,"2,509",986,12.57,"18,805",19.57,"6,472","12,333",29.84,"8,701",48.66,"1,051","7,650",55.35,"25,834",19.26,"19,234","6,600",75.40,"2,726",2.72,"1,244","1,482",5.01,"31,870",0.07,"30,120","1,750",1.20,"65,201",0.00,"65,201",0,0.00,"61,953",1.25,"18,907","43,046",1.80,"28,687",5.21,"6,334","22,353",6.69,"7,633",5.06,"4,829","2,804",13.77
96,               Protective inspection and regulation,"15,640,014",1.91,"9,258,424","6,381,590",4.69,"158,401",1.04,"95,885","62,516",2.64,"41,305",0.00,"28,592","12,713",0.00,"213,198",3.19,"101,709","111,489",6.10,"98,083",0.54,"85,916","12,167",4.37,"4,657,261",5.48,"2,790,764","1,866,497",13.66,"134,300",3.70,"93,620","40,680",12.21,"103,247",5.63,"74,082","29,165",19.93,"74,569",0.49,"52,930","21,639",1.68,"126,409",0.00,0,"126,409",0.00,"944,571",6.88,"287,196","657,375",9.89,"155,504",9.40,"70,457","85,047",17.18,"73,677",0.00,"61,818","11,859",0.00,"76,401",1.47,"58,510","17,891",6.29,"251,250",11.94,"134,177","117,073",25.62,"154,597",0.65,"138,445","16,152",6.26,"110,915",1.85,"69,369","41,546",4.93,"92,278",1.64,"65,896","26,382",5.74,"133,365",0.80,"106,228","27,137",3.92,"110,868",2.47,"56,205","54,663",5.00,"53,472",3.72,"39,868","13,604",14.62,"290,163",0.86,"201,485","88,678",2.82,"342,602",9.73,"110,940","231,662",14.39,"545,447",7.85,"357,397","188,050",22.77,"199,615",9.43,"93,575","106,040",17.75,"78,601",0.68,"63,889","14,712",3.63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Environment and housing:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,               Natural resources,"33,864,400",1.30,"22,851,954","11,012,446",3.99,"264,670",0.93,"255,076","9,594",25.56,"403,624",0.00,"393,622","10,002",0.00,"468,045",12.23,"286,154","181,891",31.46,"342,493",3.54,"271,366","71,127",17.06,"7,101,199",2.27,"5,037,652","2,063,547",7.81,"679,236",6.53,"391,269","287,967",15.40,"199,865",1.09,"183,909","15,956",13.65,"75,298",0.77,"72,384","2,914",20.00,"101,345",0.00,0,"101,345",0.00,"4,673,498",5.87,"1,563,996","3,109,502",8.83,"647,640",5.00,"605,268","42,372",76.47,"147,746",0.00,"140,853","6,893",0.00,"389,033",9.13,"303,480","85,553",41.53,"732,354",9.79,"244,091","488,263",14.68,"589,286",5.11,"529,307","59,979",50.19,"457,091",5.28,"277,654","179,437",13.45,"290,856",7.77,"226,255","64,601",34.97,"501,137",4.00,"458,864","42,273",47.46,"982,252",0.78,"777,293","204,959",3.76,"157,322",1.17,"148,439","8,883",20.66,"617,333",0.20,"446,038","171,295",0.71,"272,580",2.34,"246,723","25,857",24.65,"488,811",4.49,"435,298","53,513",40.98,"950,278",10.21,"656,773","293,505",33.07,"299,913",1.14,"270,487","29,426",11.62
98,                    Capital outlay,"6,111,139",2.72,"2,813,883","3,297,256",5.05,"31,434",0.20,"30,094","1,340",4.62,"26,643",0.00,"26,104",539,0.00,"62,852",43.11,"15,232","47,620",56.91,"30,385",13.87,"6,398","23,987",17.57,"1,298,434",3.36,"797,840","500,594",8.72,"117,994",9.22,"22,825","95,169",11.43,"36,179",4.01,"29,977","6,202",23.37,"5,150",0.00,"5,150",0,0.00,"5,162",0.00,0,"5,162",0.00,"1,210,016",10.38,"138,655","1,071,361",11.72,"81,550",3.08,"75,626","5,924",42.33,"21,612",0.00,"17,761","3,851",0.00,"71,826",5.77,"59,985","11,841",34.99,"129,764",16.62,"47,942","81,822",26.36,"32,870",15.77,"24,695","8,175",63.40,"151,278",5.82,"56,126","95,152",9.25,"27,261",14.42,"12,909","14,352",27.38,"48,807",3.88,"45,752","3,055",61.94,"382,616",1.47,"279,340","103,276",5.45,"11,269",2.10,"9,686","1,583",14.97,"71,743",0.18,"70,562","1,181",11.15,"44,780",1.43,"42,994","1,786",35.98,"32,195",4.71,"27,113","5,082",29.81,"138,601",21.40,"58,283","80,318",36.93,"36,855",0.66,"27,961","8,894",2.73
99,               Parks and recreation,"48,839,166",2.44,"6,023,135","42,816,031",2.79,"479,171",4.71,"23,489","455,682",4.95,"124,265",1.03,"13,774","110,491",1.16,"886,437",4.44,"90,789","795,648",4.94,"281,990",4.78,"64,866","217,124",6.20,"7,280,170",10.19,"639,242","6,640,928",11.17,"1,669,486",8.40,"100,771","1,568,715",8.94,"309,527",10.08,"47,214","262,313",11.89,"94,888",1.30,"57,915","36,973",3.34,"444,302",0.00,0,"444,302",0.00,"3,761,011",6.36,"171,513","3,589,498",6.66,"1,113,799",8.01,"208,361","905,438",9.86,"306,202",0.00,"61,438","244,764",0.00,"225,059",6.42,"39,252","185,807",7.78,"3,041,922",24.38,"92,433","2,949,489",25.14,"590,542",6.36,"58,519","532,023",7.06,"398,852",7.08,"27,053","371,799",7.60,"404,175",4.18,"38,251","365,924",4.62,"377,052",3.85,"107,246","269,806",5.38,"793,214",2.06,"315,756","477,458",3.42,"95,697",8.30,"8,227","87,470",9.08,"1,243,070",0.47,"314,337","928,733",0.63,"534,292",5.18,"210,631","323,661",8.56,"1,046,625",10.77,"157,040","889,585",12.67,"1,321,341",7.49,"228,777","1,092,564",9.06,"250,175",1.74,"33,054","217,121",2.01
100,                    Capital outlay,"11,325,458",2.25,"998,310","10,327,148",2.47,"100,707",5.64,"8,156","92,551",6.14,"15,328",3.97,469,"14,859",4.10,"157,477",1.49,"6,776","150,701",1.56,"57,772",6.01,30,"57,742",6.01,"1,129,801",10.96,"83,478","1,046,323",11.84,"411,538",11.09,"8,987","402,551",11.34,"54,677",5.46,"19,356","35,321",8.46,"28,080",4.00,"18,995","9,085",12.36,"110,440",0.00,0,"110,440",0.00,"917,542",8.83,"35,099","882,443",9.18,"293,722",11.18,"33,508","260,214",12.62,"84,365",0.00,"16,826","67,539",0.00,"49,394",11.74,"7,670","41,724",13.90,"443,264",33.93,"17,371","425,893",35.31,"112,719",10.00,"4,117","108,602",10.38,"53,408",7.68,"4,511","48,897",8.39,"89,122",2.15,"10,255","78,867",2.43,"45,786",11.33,488,"45,298",11.45,"163,846",1.23,"88,853","74,993",2.69,"7,306",11.61,401,"6,905",12.28,"225,192",1.23,"159,327","65,865",4.22,"130,185",3.20,"42,253","87,932",4.73,"217,008",14.56,"28,389","188,619",16.75,"270,644",14.69,"15,988","254,656",15.61,"54,627",0.53,629,"53,998",0.54
101,               Housing and community development,"56,554,053",1.74,"9,144,598","47,409,455",2.07,"498,634",13.90,"42,708","455,926",15.20,"234,028",12.20,"81,688","152,340",18.75,"485,169",1.93,"79,606","405,563",2.31,"191,509",19.00,"14,358","177,151",20.54,"8,889,557",7.71,"223,575","8,665,982",7.91,"1,161,822",14.11,"185,387","976,435",16.79,"797,831",5.22,"172,948","624,883",6.66,"172,374",0.02,"84,397","87,977",0.04,"1,182,490",0.00,0,"1,182,490",0.00,"2,524,369",6.49,"249,534","2,274,835",7.20,"1,095,821",14.74,"276,083","819,738",19.70,"324,958",0.00,"172,850","152,108",0.00,"184,821",3.01,"117,303","67,518",8.25,"2,121,811",14.17,"176,186","1,945,625",15.46,"1,180,657",3.65,"426,322","754,335",5.72,"256,845",3.92,"107,984","148,861",6.76,"269,489",17.75,"88,407","181,082",26.41,"449,843",3.80,"258,203","191,640",8.91,"568,619",2.81,"31,918","536,701",2.98,"261,850",7.12,"133,271","128,579",14.51,"1,636,680",0.31,"404,917","1,231,763",0.41,"2,977,726",4.50,"1,246,831","1,730,895",7.75,"1,060,586",4.80,"632,487","428,099",11.90,"1,147,562",6.87,"134,006","1,013,556",7.78,"285,905",4.63,"20,697","265,208",4.99
